year,country_code,country_name,athlete_number,male,female,gold,silver,bronze,medal_number,gdp,gdp_percap,gdp_growth,life_expectancy,health_expenditure,age_dependency,female_literacy
1960,AFG,Afghanistan,16,16,0,0,0,0,0,537777811.111111,59.7731938409853,,32.446,,5.08221047682702,
1960,ARG,Argentina,116,115,1,0,3,1,4,,,,65.055,,8.72288329614584,
1960,AUS,Australia,280,224,56,11,24,11,46,18577668271.9229,1807.78571021206,,70.8170731707317,,14.067773221011800,
1960,AUT,Austria,198,144,54,1,2,0,3,6592693841.18495,935.460426850415,,68.5856097560976,,18.5196085788113,
1960,BEL,Belgium,150,130,20,0,2,2,4,11658722590.99,1273.69165910289,,69.70195121951220,,18.376221914997,
1960,BGR,Bulgaria,183,143,40,1,3,3,7,,,,69.2475609756098,,11.4201295345376,
1960,BHS,Bahamas,14,14,0,0,0,0,0,169803921.568627,1550.23939204838,,64.74,,7.0430180485819,
1960,BMU,Bermuda,9,9,0,0,0,0,0,84466654.0801544,1902.4021189224,,,,,
1960,BRA,Brazil,86,85,1,0,0,13,13,15165569912.5199,210.109899384623,,54.143,,5.868718869749480,
1960,CAN,Canada,140,108,32,0,9,0,9,40461721692.6468,2259.29428549881,,71.1331707317073,,13.143637584883,
1960,CHE,Switzerland,221,219,2,0,6,6,12,9522746719.21614,1787.36034770201,,71.3134146341463,,15.546888798829800,
1960,CHL,Chile,9,8,1,0,0,0,0,4110000000.0,505.34920121628100,,57.219,,6.6058646109045800,
1960,COL,Colombia,23,23,0,0,0,0,0,4031152976.63904,251.041522886697,,57.269,,5.79409450935583,
1960,CUB,Cuba,21,10,11,0,0,0,0,,,,63.834,,7.7159784809518,
1960,CUW,Curacao,5,5,0,0,0,0,0,,,,,,9.03551790756427,
1960,CZE,Czech Republic,202,153,49,4,7,11,22,,,,70.3487804878049,,14.4137807100865,
1960,DEU,Germany,425,323,102,34,33,22,89,,,,69.3100243902439,,17.105948700118100,
1960,DNK,Denmark,109,96,13,2,17,4,23,,,,72.1765853658537,,16.5176682219655,
1960,ESP,Spain,238,197,41,0,0,14,14,12072126075.397,396.39225333761400,,69.1092682926829,,12.748438155737800,
1960,ETH,Ethiopia,15,15,0,1,0,0,1,,,,38.419,,4.89852796747883,
1960,FIN,Finland,219,179,40,1,1,4,6,5224102195.52771,1179.3530109999400,,68.819756097561,,11.7690865240287,
1960,FJI,Fiji,3,3,0,0,0,0,0,112328422.113084,285.473560637195,,60.81100000000000,,4.369674571399240,
1960,FRA,France,363,291,72,0,6,6,12,62225478000.8822,1334.69005583825,,69.86829268292680,,18.7957948457348,
1960,GBR,Iran,24,24,0,0,1,3,4,73233967692.1028,1397.5948032844,,71.12682926829270,,18.0822374719222,
1960,GHA,Ghana,15,15,0,0,1,0,1,1217230038.2678100,183.44956215049200,,45.843,,4.380691531654090,
1960,GMB,UK,389,292,97,2,11,15,28,,,,32.054,,3.93373511860583,
1960,GRC,Greece,59,59,0,3,0,0,3,4335186016.83942,520.322744310383,,68.1639024390244,,10.7418417387702,
1960,GUY,Guyana,6,5,1,0,0,0,0,170215248.206265,297.673299079368,,60.26,,6.80660110297972,
1960,HKG,"Hong Kong SAR, China",4,4,0,0,0,0,0,1320796651.6945700,429.442874392053,,66.9616829268293,,4.81726373220113,
1960,HTI,Haiti,1,1,0,0,0,0,0,273187200.0,70.6611393892491,,41.762,,5.703461043348650,
1960,HUN,Hungary,312,241,71,13,16,37,66,,,,68.0031707317073,,13.685741699289600,
1960,IDN,Indonesia,27,25,2,0,0,0,0,,,,46.664,,6.29049903952902,
1960,IND,India,49,49,0,0,13,0,13,37029883875.4573,82.1886020091056,,41.422,,5.39346072864779,
1960,IRL,Ireland,63,60,3,0,0,0,0,1939329775.4373900,685.61471237976,,69.796512195122,,19.454065770125600,
1960,IRQ,Iraq,28,28,0,0,0,1,1,1684121534.58415,231.025648935514,,48.022,,5.61541670935393,
1960,ISL,Iceland,11,10,1,0,0,0,0,248434096.968726,1414.98226940621,,73.4231707317073,,14.102768849939100,
1960,ISR,Israel,46,27,19,0,0,0,0,2598500000.0,1229.1747476372,,,,7.905656677991380,
1960,ITA,Italy,402,323,79,36,18,34,88,40385288344.1911,804.492623346178,,69.1239024390244,,14.5576037809543,
1960,JPN,Japan,278,218,60,9,10,12,31,44307342950.4,478.995340162869,,67.6660975609756,,8.76670219590523,
1960,KEN,Kenya,30,30,0,0,0,0,0,791265458.818076,97.44552502168400,,46.76,,7.51945929530484,
1960,KGZ,South Korea,49,43,6,0,0,0,0,,,,56.1280731707317,,12.5074286383255,
1960,LBN,Lebanon,22,22,0,0,0,0,0,,,,63.267,,11.3477545172735,
1960,LBR,Liberia,6,6,0,0,0,0,0,,,,34.264,,5.68276813721951,
1960,LIE,Liechtenstein,8,8,0,0,0,0,0,,,,,,,
1960,LKA,Sri Lanka,5,5,0,0,0,0,0,1409873949.5798300,142.779621883716,,59.369,,8.45981448378599,
1960,LUX,Luxembourg,117,104,13,0,0,0,0,703925705.942958,2242.0158166161,,68.4463902439024,,15.9195240771969,
1960,MAR,Morocco,111,111,0,0,1,0,1,2037150716.33238,164.800779039246,,48.458,,5.69988259365683,
1960,MCO,Monaco,13,13,0,0,0,0,0,,,,,,,
1960,MEX,Mexico,110,97,13,0,0,1,1,13040000000.0,345.230559078387,,57.077,,6.680483245555480,
1960,MLT,Malta,13,13,0,0,0,0,0,,,,69.433243902439,,14.8260246358024,
1960,MMR,Myanmar,10,10,0,0,0,0,0,,,,42.381,,5.897012653095210,
1960,MYS,Malaysia,11,11,0,0,0,0,0,1916241996.60264,234.93875341530200,,59.99100000000000,,6.688333722901980,
